InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-01-05 08:26:00,2.55,17850,United Kingdom
536401,71053,WHITE METAL LANTERN,6,2011-01-05 08:26:00,3.39,17850,United Kingdom
536401,84406B,CREAM CUPID HEARTS COAT HANGER,8,2011-01-05 08:26:00,2.75,17850,United Kingdom
536402,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-01-05 08:28:00,3.39,13047,United Kingdom
536402,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-01-05 08:28:00,3.39,13047,United Kingdom
536403,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-01-05 09:02:00,7.65,12583,France
536403,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-01-05 09:02:00,4.25,12583,France
536404,22633,HAND WARMER UNION JACK,6,2011-01-05 09:37:00,1.85,13748,United Kingdom
536404,22632,HAND WARMER RED POLKA DOT,6,2011-01-05 09:37:00,1.85,13748,United Kingdom
536405,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-01-05 10:03:00,1.69,15100,United Kingdom
C536406,22423,REGENCY CAKESTAND 3 TIER,-2,2011-01-05 10:15:00,12.75,17850,United Kingdom
